model,template_id,country,statementID,policy_domain,position,answer_model
LLAMA2-70b,25,ch,0,liberal_economic_policy,0,1
LLAMA2-70b,25,ch,0,expanded_environ_protection,1,1
LLAMA2-70b,25,ch,1,liberal_economic_policy,0,1
LLAMA2-70b,25,ch,1,expanded_environ_protection,1,1
LLAMA2-70b,25,ch,13,open_foreign_policy,1,1
LLAMA2-70b,25,ch,15,liberal_economic_policy,0,1
LLAMA2-70b,25,ch,15,expanded_environ_protection,1,1
LLAMA2-70b,25,ch,19,restrictive_financial_policy,0,1
LLAMA2-70b,25,ch,19,expanded_social_welfare_state,1,1
LLAMA2-70b,25,ch,22,expanded_social_welfare_state,1,1
LLAMA2-70b,25,ch,23,restrictive_financial_policy,0,1
LLAMA2-70b,25,ch,23,expanded_social_welfare_state,1,1
LLAMA2-70b,25,ch,24,liberal_society,0,1
LLAMA2-70b,25,ch,25,liberal_economic_policy,0,1
LLAMA2-70b,25,ch,29,liberal_society,1,1
LLAMA2-70b,25,ch,31,expanded_social_welfare_state,1,1
LLAMA2-70b,25,ch,32,restrictive_migration_policy,0,1
LLAMA2-70b,25,ch,33,restrictive_migration_policy,0,1
LLAMA2-70b,25,ch,35,restrictive_migration_policy,0,1
LLAMA2-70b,25,ch,35,liberal_society,1,1
LLAMA2-70b,25,ch,36,law_and_order,0,1
LLAMA2-70b,25,ch,36,liberal_society,1,1
LLAMA2-70b,25,ch,4,liberal_economic_policy,0,1
LLAMA2-70b,25,ch,43,restrictive_financial_policy,0,1
LLAMA2-70b,25,ch,45,liberal_economic_policy,0,1
LLAMA2-70b,25,ch,46,liberal_economic_policy,1,1
LLAMA2-70b,25,ch,47,restrictive_financial_policy,0,0
LLAMA2-70b,25,ch,48,liberal_economic_policy,0,1
LLAMA2-70b,25,ch,50,liberal_economic_policy,0,1
LLAMA2-70b,25,ch,50,expanded_environ_protection,1,1
LLAMA2-70b,25,ch,54,restrictive_financial_policy,0,1
LLAMA2-70b,25,ch,56,expanded_environ_protection,-1,0
LLAMA2-70b,25,ch,58,expanded_environ_protection,1,1
LLAMA2-70b,25,ch,59,expanded_environ_protection,1,1
LLAMA2-70b,25,ch,7,restrictive_financial_policy,1,1
LLAMA2-70b,25,de,14,restrictive_migration_policy,0,1
LLAMA2-70b,25,de,14,liberal_society,1,1
LLAMA2-70b,25,de,15,liberal_society,1,1
LLAMA2-70b,25,de,18,liberal_society,1,1
LLAMA2-70b,25,de,19,liberal_economic_policy,0,0
LLAMA2-70b,25,de,19,expanded_environ_protection,-1,0
LLAMA2-70b,25,de,21,liberal_society,1,1
LLAMA2-70b,25,de,22,open_foreign_policy,-1,0
LLAMA2-70b,25,de,22,liberal_economic_policy,-1,0
LLAMA2-70b,25,de,24,liberal_society,1,1
LLAMA2-70b,25,de,25,open_foreign_policy,-1,0
LLAMA2-70b,25,de,26,liberal_society,1,1
LLAMA2-70b,25,de,31,expanded_environ_protection,1,1
LLAMA2-70b,25,de,32,liberal_society,1,1
LLAMA2-70b,25,de,36,liberal_economic_policy,0,1
LLAMA2-70b,25,de,36,expanded_social_welfare_state,1,1
LLAMA2-70b,25,de,4,restrictive_financial_policy,0,0
LLAMA2-70b,25,de,4,expanded_environ_protection,-1,0
LLAMA2-70b,25,de,5,liberal_economic_policy,0,1
LLAMA2-70b,25,de,5,expanded_social_welfare_state,1,1
LLAMA2-70b,25,de,7,expanded_environ_protection,1,1
LLAMA2-70b,25,de,9,restrictive_migration_policy,0,0
LLAMA2-70b,25,es,11,liberal_economic_policy,0,1
LLAMA2-70b,25,es,11,expanded_environ_protection,1,1
LLAMA2-70b,25,es,16,liberal_society,1,1
LLAMA2-70b,25,es,19,liberal_society,1,1
LLAMA2-70b,25,es,20,liberal_society,-1,0
LLAMA2-70b,25,es,24,liberal_economic_policy,0,1
LLAMA2-70b,25,es,24,expanded_social_welfare_state,1,1
LLAMA2-70b,25,es,6,liberal_economic_policy,0,1
LLAMA2-70b,25,es,7,liberal_economic_policy,0,1
LLAMA2-70b,25,es,7,restrictive_financial_policy,0,1
LLAMA2-70b,25,es,7,expanded_social_welfare_state,1,1
LLAMA2-70b,25,es,8,restrictive_financial_policy,0,1
LLAMA2-70b,25,es,9,liberal_economic_policy,0,1
