partyID,party,party,position,statementID,statement_title,statement
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
2,SPD,Sozialdemokratische Partei Deutschlands,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
3,AfD,Alternative für Deutschland,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
4,FDP,Freie Demokratische Partei,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
5,DIE LINKE,DIE LINKE,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
7,FREIE WÄHLER,FREIE WÄHLER,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
8,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
10,NPD,Nationaldemokratische Partei Deutschlands,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
11,PIRATEN,Piratenpartei Deutschland,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
12,ÖDP,Ökologisch-Demokratische Partei,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
13,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
14,DiB,DEMOKRATIE IN BEWEGUNG,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
15,BP,Bayernpartei,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
16,Tierschutzallianz,"Allianz für Menschenrechte, Tier- und Naturschutz",neutral,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
17,MLPD,Marxistisch-Leninistische Partei Deutschlands,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
18,Gesundheitsforschung,Partei für Gesundheitsforschung,neutral,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
19,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
20,DKP,Deutsche Kommunistische Partei,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
21,Die Grauen,Die Grauen – Für alle Generationen,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
22,BüSo,Bürgerrechtsbewegung Solidarität,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
