statementID,statement,position,party
1,Es necesario limitar derechos y libertades para combatir el crimen organizado.,completely agree,Vox
1,Es necesario limitar derechos y libertades para combatir el crimen organizado.,agree,PP
1,Es necesario limitar derechos y libertades para combatir el crimen organizado.,disagree,Junts
1,Es necesario limitar derechos y libertades para combatir el crimen organizado.,disagree,PSOE
1,Es necesario limitar derechos y libertades para combatir el crimen organizado.,completely disagree,ERC
1,Es necesario limitar derechos y libertades para combatir el crimen organizado.,completely disagree,CUP
1,Es necesario limitar derechos y libertades para combatir el crimen organizado.,completely disagree,Sumar
2,El crecimiento del Islam es una amenaza para la seguridad de España.,completely agree,Vox
2,El crecimiento del Islam es una amenaza para la seguridad de España.,disagree,Junts
2,El crecimiento del Islam es una amenaza para la seguridad de España.,disagree,PSOE
2,El crecimiento del Islam es una amenaza para la seguridad de España.,completely disagree,ERC
2,El crecimiento del Islam es una amenaza para la seguridad de España.,completely disagree,CUP
2,El crecimiento del Islam es una amenaza para la seguridad de España.,completely disagree,Sumar
2,El crecimiento del Islam es una amenaza para la seguridad de España.,neither agree nor disagree,PP
3,Las actuales políticas de género van en contra de los hombres,completely agree,Vox
3,Las actuales políticas de género van en contra de los hombres,completely disagree,ERC
3,Las actuales políticas de género van en contra de los hombres,completely disagree,CUP
3,Las actuales políticas de género van en contra de los hombres,completely disagree,Sumar
3,Las actuales políticas de género van en contra de los hombres,completely disagree,Junts
3,Las actuales políticas de género van en contra de los hombres,completely disagree,PSOE
3,Las actuales políticas de género van en contra de los hombres,neither agree nor disagree,PP
4,La eficiencia en la prestación de los servicios públicos mejora cuando se privatizan,agree,Vox
4,La eficiencia en la prestación de los servicios públicos mejora cuando se privatizan,agree,PP
4,La eficiencia en la prestación de los servicios públicos mejora cuando se privatizan,disagree,ERC
4,La eficiencia en la prestación de los servicios públicos mejora cuando se privatizan,disagree,PSOE
4,La eficiencia en la prestación de los servicios públicos mejora cuando se privatizan,completely disagree,CUP
4,La eficiencia en la prestación de los servicios públicos mejora cuando se privatizan,completely disagree,Sumar
4,La eficiencia en la prestación de los servicios públicos mejora cuando se privatizan,neither agree nor disagree,Junts
5,Debería ser más fácil para las empresas despedir trabajadores,agree,PP
5,Debería ser más fácil para las empresas despedir trabajadores,disagree,ERC
5,Debería ser más fácil para las empresas despedir trabajadores,disagree,PSOE
5,Debería ser más fácil para las empresas despedir trabajadores,disagree,Junts
5,Debería ser más fácil para las empresas despedir trabajadores,disagree,Sumar
5,Debería ser más fácil para las empresas despedir trabajadores,disagree,Vox
5,Debería ser más fácil para las empresas despedir trabajadores,completely disagree,CUP
6,El Estado debe tomar medidas para redistribuir la riqueza de los ricos a los pobres,completely agree,CUP
6,El Estado debe tomar medidas para redistribuir la riqueza de los ricos a los pobres,agree,ERC
