statementID,statement,translation,position,party
1,Unia Europejska powinna mieć mniejszy wpływ na polską politykę wewnętrzną.,The European Union should have less influence on Polish domestic policy.,agree,Trzecia Droga
2,"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla obywateli.",Social transfers should be increased to reduce the effects of inflation on citizens.,disagree,Trzecia Droga
3,"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów, jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,agree,Trzecia Droga
4,Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego dziecka.,The state should provide a free nursery place for every child.,agree,Trzecia Droga
5,Szkoły powinny mieć większą swobodę w doborze treści poruszanych w programie nauczania.,Schools should have more freedom to choose the content covered in the curriculum.,agree,Trzecia Droga
6,Państwo powinno budować mieszkania niskoczynszowe na wynajem.,The state should build low-rent apartments for rent.,agree,Trzecia Droga
7,Należy podwyższyć podatki dla najlepiej zarabiających osób.,Taxes should be increased for top earners.,disagree,Trzecia Droga
8,"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.","Early retirement should be introduced for those who have worked a certain number of years, regardless of their age.",neutral,Trzecia Droga
9,Należy zliberalizować prawo aborcyjne.,Abortion laws should be liberalized.,agree,Trzecia Droga
10,Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej wysokości niezależnie od dochodu.,All entrepreneurs should pay the same health premium regardless of income.,disagree,Trzecia Droga
11,Wynik każdego referendum ogólnokrajowego powinien być wiążący niezależnie od frekwencji.,The result of any nationwide referendum should be binding regardless of turnout.,disagree,Trzecia Droga
12,Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów przyjęte przez Unię Europejską.,Poland should adopt the migrant relocation solutions adopted by the European Union.,disagree,Trzecia Droga
13,Należy wzmocnić niezależność władzy sądowniczej od parlamentu i rządu.,The independence of the judiciary from parliament and the government should be strengthened.,agree,Trzecia Droga
14,Udział wydatków na obronność w PKB Polski powinien być dalej zwiększany.,The share of defense spending in Poland's GDP should be further increased.,agree,Trzecia Droga
15,Należy zwiększyć kompetencje samorządów lokalnych kosztem rządu centralnego.,The powers of local governments should be increased at the expense of the central government.,agree,Trzecia Droga
16,Polska powinna odejść od wydobycia węgla nie później niż w 2040 roku.,Poland should move away from coal mining no later than 2040.,agree,Trzecia Droga
17,Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,Poland should have grain imports from Ukraine blocked.,agree,Trzecia Droga
18,Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,Christian values should be the basis of state social policy.,agree,Trzecia Droga
19,Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,Public media funding from the state budget should be limited.,agree,Trzecia Droga
20,Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,The powers of the secret services to track the activities of citizens on the Internet should be limited.,agree,Trzecia Droga
1,Unia Europejska powinna mieć mniejszy wpływ na polską politykę wewnętrzną.,The European Union should have less influence on Polish domestic policy.,disagree,Nowa Lewica
2,"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla obywateli.",Social transfers should be increased to reduce the effects of inflation on citizens.,agree,Nowa Lewica
3,"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów, jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,agree,Nowa Lewica
4,Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego dziecka.,The state should provide a free nursery place for every child.,agree,Nowa Lewica
